root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21
-0.01947791515066185,0.19203995572519855,0.5683548560131502,0.8401865129781201,0.05962253564051766,-0.08410973078563037,0.5324071091191689,0.381704153257079,0.3460482966037126,0.5363331208245251,-1.426717683279289,-0.2047488400314543,-0.0634918018474354,-0.04704649837775886,0.8536743542925679,0.21908987810035832,1.4649272153221384,-0.26762462491709793,0.17945558544094364,0.24130536797383056,0.6961579046126659,-0.19188976856830495,0.13557522394582894,0.1102297768642878,0.020117034851579438,-0.2437457027301276,0.3459034017073716,-0.20852623835976314,-0.011777135258665522
-0.011913052670592984,0.20536348026903792,0.5706645604587767,0.8294560539595869,0.061314939886659654,-0.08127990633617727,0.5492146297418414,0.32682621885192153,0.34977430342237065,0.5528864722810501,-1.480386183814642,-0.2776272698424917,-0.044201186356881216,-0.14332640985812717,0.8059913978115109,0.3381559826263658,1.4919222127159726,-0.28125638475737486,0.15085515714524142,0.28421308348812147,0.6090156435496221,-0.13163704220863948,0.10810807782316227,0.17929018015352438,0.018245271921844684,-0.30457283640105914,0.2897343102427642,-0.1437315597776409,0.008467318740599203
-0.01027178035170318,0.21167230880396856,0.5746415753060609,0.8167491163736117,0.06082862787586774,-0.07552430407509172,0.5687854063068389,0.2578270450624034,0.3518384465074366,0.5679867884261728,-1.499818278686225,-0.35894629692226043,-0.04493963662907651,-0.25394520775520724,0.7672588494082527,0.47025433342508904,1.472071688171256,-0.27484565106611436,0.11189504897403776,0.33184085208291625,0.4986097093325792,-0.07321196154943391,0.08609087085555703,0.23410167815704866,0.025812023035630984,-0.34599776194046217,0.22780771574963757,-0.09393251034112757,0.030684982943302797
-0.01169890909324977,0.21928452966881548,0.5777363929404212,0.8026680479342644,0.05786950425892948,-0.07278771645220501,0.5891324754551355,0.1878728903511997,0.35755177115645836,0.571927327474634,-1.4831977808421966,-0.44733943667668585,-0.057282321800520855,-0.3568796633498534,0.748631678964319,0.5902168389964223,1.4279224796616188,-0.24131357585162178,0.06311447400738118,0.39485017268699923,0.3780510604269201,-0.0385049184917697,0.07737144964907025,0.2669487395772962,0.028802580060479345,-0.4082142330580722,0.20915513058619134,-0.029374012288752305,0.049653083903531084
-0.016557528770914,0.2282521979624263,0.5783483131655778,0.785440920061823,0.05375067468595726,-0.07000068382356012,0.6126118920878654,0.11118947089724208,0.3626217504505808,0.5694953606448067,-1.4481798504082197,-0.5465934539267946,-0.08024182738904978,-0.448505067172014,0.7554878773908401,0.7141431618053138,1.3452196718785607,-0.18322151431521816,-0.005407803745671631,0.43495696748778834,0.2576054031445809,-0.0026289769064969312,0.07239908008559715,0.26753138080707173,0.016312323513762442,-0.43415097073030734,0.24034454341945685,0.04687563342352511,0.0905794651169699
-0.021886479305333224,0.23842398391659808,0.5754707845454354,0.7669886849213648,0.053733961443771724,-0.07206206584645479,0.6353330443602746,0.046547471689785756,0.3688463194048369,0.5581002674252786,-1.4125458190500215,-0.6184972328626104,-0.13277427207209128,-0.45479414355978937,0.7669400728016446,0.7814128501135889,1.2599942613880815,-0.13399271001225133,-0.07048605586487,0.4452067481003342,0.19842122174047286,0.015547758043531715,0.08424748449177286,0.22953405554405185,-0.01940224817081728,-0.427865876358664,0.3673284501054517,0.10303245694099214,0.11351664249354228
-0.03152363314650655,0.25045349708249015,0.5706019466106863,0.7456859706099579,0.06318324319277897,-0.07773667869823568,0.6587240088231893,-0.001651812917834854,0.383319456591168,0.5285761778499463,-1.3680937430013986,-0.6727593518418981,-0.2152580165908755,-0.3921506209709345,0.8024351611525374,0.8192868259068875,1.1323958930672253,-0.08773054504928984,-0.11963630720525868,0.42243132811854345,0.2065376654770218,-0.016238493355881185,0.1399203488938789,0.14374469787966146,-0.11498778561329477,-0.4237535456756404,0.6025461049630305,0.13794610923424974,0.11666426448291159
-0.04279151532567787,0.26034671898250633,0.5656961863909055,0.7255193168277191,0.07879779215700715,-0.08197462026028446,0.6787435380865157,-0.07733558297531,0.40426244624305574,0.48752972575547676,-1.3174651671168598,-0.6889516215042565,-0.3407832880439891,-0.28739893575546394,0.8586676467177343,0.7992012095730708,0.9831663319031214,-0.05267569162344338,-0.15293113367234115,0.3905453010716396,0.24265650334936795,-0.10371909392754788,0.22117049211981538,0.052456195613698506,-0.217044131840045,-0.3724540707803383,0.8214391500775124,0.16555186602696242,0.12292278133044006
-0.04349753225997696,0.2706729922593698,0.561906828318473,0.7071538320441066,0.09430373878802438,-0.08671472319847345,0.6953566131536726,-0.161876423224124,0.4415465624446061,0.41815309328873773,-1.2566690079907625,-0.6589115533987632,-0.4774514032589812,-0.14682812349923735,0.9308367729281413,0.7540584356129147,0.8322022256297019,-0.03963409303900066,-0.1653470873812943,0.3301908430741112,0.3159915164553428,-0.18864377835076812,0.2444975789969628,-0.048484227672191,-0.2617909057824568,-0.3017911989867618,0.9686335230588927,0.1288688896513312,0.10131040825858709
-0.028734417769447657,0.2817323875642593,0.5591099018478977,0.6854089658842455,0.1096365365137547,-0.08801091787798046,0.7144567570406424,-0.2281114999925723,0.48227443322502217,0.3353479097437384,-1.176329227112564,-0.558273040319726,-0.6242660297227237,-0.019687157675314294,1.008170167709166,0.684577451539571,0.6876396557957631,-0.03583719766314071,-0.15303798016934983,0.28243867745142304,0.3961104377804654,-0.26131406511942606,0.2477511429111027,-0.13033605748040916,-0.2822004691939961,-0.23605092651265486,1.053654830671504,0.08535066593084377,0.07513818793623764
